trade_id,strike,entry_time,exit_time,trade_type,entry_poly_prob,exit_poly_prob,divergence_at_entry,divergence_at_exit,units,investment_amount,pnl,exit_reason,capital_after_trade,capital_at_trade_entry_snapshot,market,in_cooldown,cooldown_reason
1,85000.0,2025-05-01 00:00:00+00:00,2025-05-01 06:00:00+00:00,YES,0.32,0.375,-0.0706906031156905,0.0103611564831165,920.4505614022202,294.54417964871044,31.43338667188584,convergence,10031.433386671886,10000.0,BTC_may,False,
2,90000.0,2025-05-01 00:00:00+00:00,2025-05-01 06:00:00+00:00,NO,0.725,0.665,0.0426171722301299,0.0124532214052375,626.1250046467023,172.18437627784314,26.109412693767467,convergence,10057.542799365654,10031.433386671886,BTC_may,False,
3,100000.0,2025-05-01 01:00:00+00:00,2025-05-01 02:00:00+00:00,NO,0.695,0.645,0.0599398454335421,-0.0030419558670371,779.4857209135427,237.74314487863055,23.540468771588905,convergence,10081.083268137243,10057.542799365654,BTC_may,False,
4,100000.0,2025-05-01 06:00:00+00:00,2025-05-01 07:00:00+00:00,NO,0.695,0.675,0.0435196935036417,0.0148957916532235,599.3519863579553,182.80235583917639,0.6592871849937012,convergence,10081.742555322237,10081.083268137243,BTC_may,False,
5,85000.0,2025-05-01 07:00:00+00:00,2025-05-01 13:00:00+00:00,NO,0.405,0.34,0.0468105034218839,-0.0101899143160394,330.4842047510252,196.63810182685998,9.038742999940524,convergence,10090.781298322177,10081.742555322237,BTC_may,False,
6,90000.0,2025-05-01 09:00:00+00:00,2025-05-02 13:00:00+00:00,NO,0.675,0.555,0.0654081954249907,0.0195672490049544,828.4371687037213,269.2420798287094,80.27556164739059,convergence,10171.056859969569,10090.781298322177,BTC_may,False,
7,105000.0,2025-05-01 10:00:00+00:00,2025-05-01 11:00:00+00:00,YES,0.415,0.46,-0.0566048800413436,-0.0123644174133613,545.6963889574131,226.46400141732644,10.231807292951487,convergence,10181.28866726252,10171.056859969569,BTC_may,False,
8,110000.0,2025-05-01 10:00:00+00:00,2025-05-01 16:00:00+00:00,YES,0.235,0.31,-0.0525754222320935,-0.0118257707358749,873.3325803079622,205.2331563723711,51.22095583506203,convergence,10232.509623097583,10181.28866726252,BTC_may,False,
9,100000.0,2025-05-01 13:00:00+00:00,2025-05-01 15:00:00+00:00,NO,0.775,0.8,0.0552567965476548,0.0130924658926794,983.6020464086971,221.31046044195682,-37.13097725192833,convergence,10195.378645845654,10232.509623097583,BTC_may,False,
10,85000.0,2025-05-01 14:00:00+00:00,2025-05-01 15:00:00+00:00,NO,0.365,0.325,0.0557419378129683,0.017060785573746,343.24282680888734,217.95919502364347,0.24026997876623568,convergence,10195.61891582442,10195.378645845654,BTC_may,False,
11,115000.0,2025-05-01 14:00:00+00:00,2025-05-01 17:00:00+00:00,YES,0.135,0.18,-0.0600069613099392,-0.0113781059078709,1696.466409344434,229.0229652614986,60.309380852194636,convergence,10255.928296676615,10195.61891582442,BTC_may,False,Cooldown started after 5 consecutive losses
12,85000.0,2025-05-02 00:00:00+00:00,2025-05-02 01:00:00+00:00,NO,0.33,0.31,0.0421703669638464,0.0198378953703519,259.5872832743216,173.92347979379542,-5.399415492105874,convergence,10250.52888118451,10255.928296676615,BTC_may,True,Cooldown until 2025-06-02 02:00:00+00:00
13,100000.0,2025-05-02 13:00:00+00:00,2025-05-02 16:00:00+00:00,NO,0.825,0.83,0.0473965031791175,0.0171547797784804,1156.7600588207072,202.43301029362382,-17.75626690289789,convergence,10232.772614281612,10250.52888118451,BTC_may,True,Cooldown until 2025-06-02 02:00:00+00:00
14,85000.0,2025-05-02 14:00:00+00:00,2025-05-02 15:00:00+00:00,NO,0.305,0.265,0.0510244266923283,-0.0031720804454247,307.18732632670464,213.49519179705973,-0.8908432463474583,convergence,10231.881771035265,10232.772614281612,BTC_may,False,
15,90000.0,2025-05-02 14:00:00+00:00,2025-05-02 15:00:00+00:00,NO,0.565,0.515,0.0837433501098873,0.0121512852999773,787.8711410237946,342.7239463453507,17.648313558932898,convergence,10249.530084594198,10231.881771035265,BTC_may,False,
16,90000.0,2025-05-02 17:00:00+00:00,2025-05-02 19:00:00+00:00,NO,0.525,0.525,0.0414210222485755,0.0166896732098256,372.4087839222983,176.89417236309168,-10.613650341785501,convergence,10238.916434252413,10249.530084594198,BTC_may,False,
17,100000.0,2025-05-02 19:00:00+00:00,2025-05-02 20:00:00+00:00,NO,0.825,0.795,0.043561940144261,0.0068785088925484,1061.969202026175,185.84461035458068,19.75262715768676,convergence,10258.669061410099,10238.916434252413,BTC_may,False,
18,90000.0,2025-05-02 23:00:00+00:00,2025-05-03 10:00:00+00:00,NO,0.56,0.585,0.0553014162344686,0.0134826618013303,537.2338331218798,236.38288657362708,-27.210893647623152,convergence,10231.458167762476,10258.669061410099,BTC_may,False,Cooldown started after 5 consecutive losses
19,90000.0,2025-05-03 12:00:00+00:00,2025-05-04 22:00:00+00:00,NO,0.6,0.63,0.0568586908906108,0.013885955522071,605.986788876064,242.39471555042562,-32.177898489319006,convergence,10199.280269273157,10231.458167762476,BTC_may,True,Cooldown until 2025-07-03 11:00:00+00:00
20,100000.0,2025-05-03 23:00:00+00:00,2025-05-04 01:00:00+00:00,NO,0.74,0.72,0.0402235385883842,0.0042005589737514,643.4342628782572,167.29290834834688,2.4450501989373947,convergence,10201.725319472094,10199.280269273157,BTC_may,False,
21,110000.0,2025-05-04 17:00:00+00:00,2025-05-04 22:00:00+00:00,YES,0.205,0.215,-0.0547774741421842,-0.0153799349794048,1111.60826326084,227.8796939684722,-2.890181484478205,convergence,10198.835137987617,10201.725319472094,BTC_may,False,
22,115000.0,2025-05-04 19:00:00+00:00,2025-05-05 17:00:00+00:00,YES,0.095,0.07,-0.0522697568318307,-0.0495295403259566,2235.109955011638,212.3354457261056,-66.94154315259854,stop_loss,10131.893594835019,10198.835137987617,BTC_may,False,
23,100000.0,2025-05-04 22:00:00+00:00,2025-05-05 00:00:00+00:00,NO,0.69,0.61,0.0405717528064804,-0.0194242450251147,544.2356885483129,168.713063449977,32.10990562435046,convergence,10164.00350045937,10131.893594835019,BTC_may,False,
24,90000.0,2025-05-05 00:00:00+00:00,2025-05-05 01:00:00+00:00,NO,0.705,0.68,0.0639461684528123,-0.0135222473449111,904.2999376609378,266.7684816099767,5.923164591679097,convergence,10169.926665051049,10164.00350045937,BTC_may,False,
25,100000.0,2025-05-05 01:00:00+00:00,2025-05-05 02:00:00+00:00,NO,0.635,0.59,0.0597740590925047,-0.0106351185726919,683.5916086468881,249.51093715611412,14.868117488069856,convergence,10184.794782539118,10169.926665051049,BTC_may,False,
26,90000.0,2025-05-05 02:00:00+00:00,2025-05-05 03:00:00+00:00,NO,0.715,0.7,0.042128813031978,0.0113877179291543,617.952747684729,176.1165330901478,-1.575779506596092,convergence,10183.219003032522,10184.794782539118,BTC_may,False,
27,90000.0,2025-05-05 04:00:00+00:00,2025-05-05 10:00:00+00:00,NO,0.715,0.695,0.0526208113718943,0.0156951490249462,771.7299755734007,219.9430430384192,1.7749789438188373,convergence,10184.99398197634,10183.219003032522,BTC_may,False,
28,100000.0,2025-05-05 10:00:00+00:00,2025-05-05 12:00:00+00:00,NO,0.63,0.6,0.0422722779828463,-0.0020774733412991,477.6210453868265,176.7197867931258,3.295585213169119,convergence,10188.28956718951,10184.99398197634,BTC_may,False,
29,90000.0,2025-05-05 12:00:00+00:00,2025-05-05 19:00:00+00:00,NO,0.725,0.67,0.059411301739673,0.0166587897020299,903.4591680507169,248.45127121394717,33.29247034266885,convergence,10221.582037532178,10188.28956718951,BTC_may,False,
30,110000.0,2025-05-05 17:00:00+00:00,2025-05-07 02:00:00+00:00,YES,0.145,0.255,-0.05876568776307,-0.008924662916379,1677.2512109823297,243.20142559243777,164.37061867626835,take_profit,10385.952656208447,10221.582037532178,BTC_may,False,
31,90000.0,2025-05-05 21:00:00+00:00,2025-05-06 13:00:00+00:00,NO,0.71,0.705,0.0890799440202919,0.0038514959406149,1276.1834127060847,370.09318968476464,-16.016101829461434,convergence,10369.936554378985,10385.952656208447,BTC_may,False,Cooldown started after 5 consecutive losses
32,90000.0,2025-05-06 14:00:00+00:00,2025-05-06 16:00:00+00:00,NO,0.735,0.665,0.0734810630254825,0.0109384460152746,1150.1714048298556,304.79542227991175,59.8089130511525,convergence,10429.745467430137,10369.936554378985,BTC_may,False,
33,100000.0,2025-05-06 16:00:00+00:00,2025-05-06 17:00:00+00:00,NO,0.615,0.595,0.0407817292416836,0.0005874089744126,442.0173351903417,170.17667404828157,-1.6354641402042773,convergence,10428.110003289932,10429.745467430137,BTC_may,False,
34,90000.0,2025-05-06 17:00:00+00:00,2025-05-06 20:00:00+00:00,NO,0.685,0.64,0.0527021188390848,0.0190948595865355,698.0410918450991,219.88294393120617,17.276517023166264,convergence,10445.386520313099,10428.110003289932,BTC_may,False,
35,100000.0,2025-05-06 20:00:00+00:00,2025-05-07 00:00:00+00:00,NO,0.65,0.775,0.0470838829083191,-0.0304825381111647,562.2330421692058,196.781564759222,-79.97765024856952,stop_loss,10365.40887006453,10445.386520313099,BTC_may,False,
36,85000.0,2025-05-06 22:00:00+00:00,2025-05-07 00:00:00+00:00,NO,0.32,0.255,0.0494007120065553,0.0194664175524389,297.48895129142585,202.29248687816954,6.6191291662342735,convergence,10372.027999230764,10365.40887006453,BTC_may,False,
39,115000.0,2025-05-06 22:00:00+00:00,2025-05-07 00:00:00+00:00,YES,0.065,0.125,-0.0746438104450598,-0.0437630249296426,4164.692064143191,270.7049841693074,226.14277908297527,take_profit,10598.170778313739,10372.027999230764,BTC_may,False,
38,105000.0,2025-05-06 22:00:00+00:00,2025-05-07 01:00:00+00:00,YES,0.325,0.475,-0.1025189998302337,-0.0152895799834761,1196.6427946598017,388.9089082644355,150.7769921271351,convergence,10748.947770440875,10598.170778313739,BTC_may,False,
37,90000.0,2025-05-06 22:00:00+00:00,2025-05-07 02:00:00+00:00,NO,0.66,0.52,0.1468772045111465,0.0079468705074301,1470.5882352941178,500.0,169.70588235294122,convergence,10918.653652793815,10748.947770440875,BTC_may,False,
40,100000.0,2025-05-07 02:00:00+00:00,2025-05-07 04:00:00+00:00,NO,0.805,0.755,0.0580093117079695,0.0115502160798749,1353.3837247356335,263.90982632344844,49.804521070271335,convergence,10968.458173864086,10918.653652793815,BTC_may,False,
