trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,combo_id,combo_trade_id,liquidation,block_rfq_id,unix_sec
2001,ETH-256161534,1751303643015,0,0.032,0.031835,61.94,ETH-25JUL25-2700-C,2479.28,buy,1.0,1.0,,,,,,,1751303643.015
2002,ETH-256161836,1751303653196,0,0.0325,0.03235,61.94,ETH-25JUL25-2700-C,2483.36,buy,1.0,1.0,,,,,,,1751303653.196
2003,ETH-256171257,1751311429233,0,0.0355,0.035382,61.89,ETH-25JUL25-2700-C,2508.79,buy,1.0,1.0,,,,,,,1751311429.233
2004,ETH-256171258,1751311429233,1,0.0355,0.035382,61.89,ETH-25JUL25-2700-C,2508.79,buy,12.0,12.0,,,,,,,1751311429.233
2005,ETH-256171259,1751311429717,1,0.0355,0.035382,61.89,ETH-25JUL25-2700-C,2508.79,sell,20.0,20.0,,,,,,,1751311429.717
2006,ETH-256171261,1751311430283,1,0.0355,0.035357,61.89,ETH-25JUL25-2700-C,2508.81,sell,119.0,119.0,,,,,,,1751311430.283
2007,ETH-256173246,1751312909587,0,0.036,0.035674,62.09,ETH-25JUL25-2700-C,2511.7,buy,1.0,1.0,,,,,,,1751312909.587
2008,ETH-256175567,1751313960400,2,0.035,0.035073,61.49,ETH-25JUL25-2700-C,2508.57,buy,1.0,1.0,,,,,,,1751313960.4
2009,ETH-256177090,1751314889850,0,0.0365,0.036502,61.44,ETH-25JUL25-2700-C,2520.73,sell,10.0,10.0,,,,,,,1751314889.85
2010,ETH-256181630,1751319947918,2,0.0335,0.033113,61.78,ETH-25JUL25-2700-C,2494.25,buy,5.0,5.0,,,,,,,1751319947.918
2011,ETH-256181803,1751320320329,2,0.033,0.032905,61.56,ETH-25JUL25-2700-C,2491.84,sell,5.0,5.0,,,,,,,1751320320.329
2013,ETH-256182520,1751320867760,3,0.033,0.032978,61.43,ETH-25JUL25-2700-C,2492.79,buy,4.0,4.0,,,,,,,1751320867.76
2012,ETH-256182519,1751320867760,3,0.033,0.032978,61.43,ETH-25JUL25-2700-C,2492.79,buy,1.0,1.0,,,,,,,1751320867.76
2014,ETH-256182582,1751320874861,3,0.033,0.03293,61.47,ETH-25JUL25-2700-C,2492.51,buy,5.0,5.0,,,,,,,1751320874.861
2015,ETH-256182585,1751320885365,3,0.033,0.032927,61.48,ETH-25JUL25-2700-C,2492.49,buy,5.0,5.0,,,,,,,1751320885.365
2016,ETH-256182596,1751320890234,3,0.033,0.03282,61.64,ETH-25JUL25-2700-C,2491.33,sell,5.0,5.0,,,,,,,1751320890.234
2017,ETH-256184356,1751322494578,2,0.0325,0.032519,61.1,ETH-25JUL25-2700-C,2491.19,buy,30.0,30.0,,,,,,,1751322494.578
2018,ETH-256184362,1751322504664,3,0.0325,0.032499,61.1,ETH-25JUL25-2700-C,2491.16,buy,13.0,13.0,,,,,,,1751322504.664
2019,ETH-256184365,1751322508692,3,0.0325,0.032497,61.1,ETH-25JUL25-2700-C,2491.15,buy,2.0,2.0,,,,,,,1751322508.692
2020,ETH-256184366,1751322511708,3,0.0325,0.032497,61.1,ETH-25JUL25-2700-C,2491.15,buy,2.0,2.0,,,,,,,1751322511.708
2021,ETH-256184370,1751322520785,3,0.0325,0.032502,61.1,ETH-25JUL25-2700-C,2491.14,buy,4.0,4.0,,,,,,,1751322520.785
2022,ETH-256184406,1751322556215,2,0.032,0.032438,60.62,ETH-25JUL25-2700-C,2490.76,sell,51.0,51.0,,,,,,,1751322556.215
2023,ETH-256184411,1751322557905,0,0.0325,0.032438,61.15,ETH-25JUL25-2700-C,2490.76,buy,8.0,8.0,,,,,,,1751322557.905
2024,ETH-256184459,1751322618952,2,0.032,0.032565,60.48,ETH-25JUL25-2700-C,2491.8,sell,8.0,8.0,,,,,,,1751322618.952
2025,ETH-256185194,1751323665295,0,0.0325,0.032419,61.11,ETH-25JUL25-2700-C,2491.66,buy,30.0,30.0,,,,,,,1751323665.295
2026,ETH-256185248,1751323726869,2,0.0315,0.03213,60.25,ETH-25JUL25-2700-C,2489.99,sell,30.0,30.0,,,,,,,1751323726.869
2027,ETH-256185419,1751324083686,0,0.0325,0.032488,60.91,ETH-25JUL25-2700-C,2492.96,buy,30.0,30.0,,,,,,,1751324083.686
2028,ETH-256185434,1751324145425,2,0.032,0.032437,60.41,ETH-25JUL25-2700-C,2492.91,sell,30.0,30.0,,,,,,,1751324145.425
2029,ETH-256185436,1751324146909,0,0.0325,0.032442,60.94,ETH-25JUL25-2700-C,2492.86,buy,16.0,16.0,,,,,,,1751324146.909
2030,ETH-256185458,1751324208074,2,0.032,0.032331,60.53,ETH-25JUL25-2700-C,2491.97,sell,16.0,16.0,,,,,,,1751324208.074
2031,ETH-256185796,1751324692847,3,0.032,0.031949,60.9,ETH-25JUL25-2700-C,2489.1,buy,30.0,30.0,,,,,,,1751324692.847
2032,ETH-256185801,1751324701384,3,0.032,0.031928,60.92,ETH-25JUL25-2700-C,2488.9,buy,9.0,9.0,,,,,,,1751324701.384
2033,ETH-256185804,1751324715088,3,0.032,0.031954,60.9,ETH-25JUL25-2700-C,2488.97,buy,2.0,2.0,,,,,,,1751324715.088
2034,ETH-256185840,1751324753627,3,0.032,0.032275,60.54,ETH-25JUL25-2700-C,2491.65,sell,36.0,36.0,,,,,,,1751324753.627
2035,ETH-256185841,1751324753629,3,0.032,0.032275,60.54,ETH-25JUL25-2700-C,2491.65,sell,77.0,77.0,,,,,,,1751324753.629
2036,ETH-256185932,1751325071568,0,0.0325,0.032502,60.8,ETH-25JUL25-2700-C,2493.73,buy,30.0,30.0,,,,,,,1751325071.568
2037,ETH-256185939,1751325124213,2,0.032,0.032434,60.33,ETH-25JUL25-2700-C,2493.42,sell,12.0,12.0,,,,,,,1751325124.213
2038,ETH-256185940,1751325124213,3,0.032,0.032434,60.33,ETH-25JUL25-2700-C,2493.42,sell,38.0,38.0,,,,,,,1751325124.213
2039,ETH-256185941,1751325124435,3,0.032,0.032434,60.33,ETH-25JUL25-2700-C,2493.42,sell,80.0,80.0,,,,,,,1751325124.435
2040,ETH-256185997,1751325215497,3,0.032,0.032587,60.15,ETH-25JUL25-2700-C,2494.85,sell,80.0,80.0,,,,,,,1751325215.497
2041,ETH-256185998,1751325215719,3,0.032,0.032587,60.15,ETH-25JUL25-2700-C,2494.85,sell,80.0,80.0,,,,,,,1751325215.719
2042,ETH-256186188,1751325725727,3,0.032,0.031994,60.7,ETH-25JUL25-2700-C,2490.85,buy,30.0,30.0,,,,,,,1751325725.727
2043,ETH-256186196,1751325738223,3,0.032,0.031997,60.7,ETH-25JUL25-2700-C,2490.89,buy,12.0,12.0,,,,,,,1751325738.223
2044,ETH-256186202,1751325744274,3,0.032,0.031994,60.7,ETH-25JUL25-2700-C,2490.89,buy,1.0,1.0,,,,,,,1751325744.274
2045,ETH-256186210,1751325751314,3,0.032,0.031994,60.7,ETH-25JUL25-2700-C,2490.89,buy,1.0,1.0,,,,,,,1751325751.314
2046,ETH-256186219,1751325762393,3,0.032,0.031996,60.7,ETH-25JUL25-2700-C,2490.92,buy,1.0,1.0,,,,,,,1751325762.393
2047,ETH-256186243,1751325787674,2,0.0315,0.03202,60.13,ETH-25JUL25-2700-C,2491.16,sell,45.0,45.0,,,,,,,1751325787.674
2048,ETH-256186388,1751325947545,0,0.032,0.031962,60.74,ETH-25JUL25-2700-C,2490.62,buy,19.0,19.0,,,,,,,1751325947.545
2049,ETH-256186446,1751326008903,2,0.0315,0.031859,60.28,ETH-25JUL25-2700-C,2490.03,sell,19.0,19.0,,,,,,,1751326008.903
2050,ETH-256186449,1751326010376,0,0.032,0.031862,60.81,ETH-25JUL25-2700-C,2490.05,buy,7.0,7.0,,,,,,,1751326010.376
2051,ETH-256186502,1751326071980,2,0.0315,0.031924,60.21,ETH-25JUL25-2700-C,2490.62,sell,7.0,7.0,,,,,,,1751326071.98
2052,ETH-256186578,1751326236721,0,0.032,0.032061,60.7,ETH-25JUL25-2700-C,2491.07,buy,6.0,6.0,,,,,,,1751326236.721
2053,ETH-256186633,1751326297977,2,0.0315,0.031741,60.44,ETH-25JUL25-2700-C,2489.27,sell,6.0,6.0,,,,,,,1751326297.977
2054,ETH-256187356,1751327290045,3,0.0315,0.031571,60.71,ETH-25JUL25-2700-C,2486.72,sell,80.0,80.0,,,,,,,1751327290.045
2055,ETH-256187357,1751327290047,3,0.0315,0.031571,60.71,ETH-25JUL25-2700-C,2486.72,sell,75.0,75.0,,,,,,,1751327290.047
2056,ETH-256187419,1751327350970,2,0.031,0.03158,60.07,ETH-25JUL25-2700-C,2487.6,sell,5.0,5.0,,,,,,,1751327350.97
2057,ETH-256188209,1751328471600,3,0.031,0.031624,59.9,ETH-25JUL25-2700-C,2489.05,sell,79.0,79.0,,,,,,,1751328471.6
2058,ETH-256188210,1751328471822,3,0.031,0.031624,59.9,ETH-25JUL25-2700-C,2489.05,sell,79.0,79.0,,,,,,,1751328471.822
2059,ETH-256188377,1751328781839,0,0.0315,0.03203,59.95,ETH-25JUL25-2700-C,2493.05,sell,4.0,4.0,,,,,,,1751328781.839
2060,ETH-256188378,1751328781840,1,0.0315,0.03203,59.95,ETH-25JUL25-2700-C,2493.05,sell,4.0,4.0,,,,,,,1751328781.84
2061,ETH-256188790,1751329602882,2,0.031,0.031162,60.26,ETH-25JUL25-2700-C,2486.73,sell,12.0,12.0,,,,,,,1751329602.882
2062,ETH-256188791,1751329602882,2,0.0305,0.031162,59.73,ETH-25JUL25-2700-C,2486.73,sell,36.0,36.0,,,,,,,1751329602.882
2063,ETH-256188792,1751329602882,3,0.0305,0.031162,59.73,ETH-25JUL25-2700-C,2486.73,sell,32.0,32.0,,,,,,,1751329602.882
