trade_id,strike,entry_time,exit_time,trade_type,entry_poly_prob,exit_poly_prob,divergence_at_entry,divergence_at_exit,units,investment_amount,pnl,exit_reason,capital_after_trade,capital_at_trade_entry_snapshot,market,in_cooldown,cooldown_reason
1,80000.0,2025-05-01 00:00:00+00:00,2025-05-01 01:00:00+00:00,YES,0.175,0.17,-0.0335311885486888,-0.0314383190408561,1117.7062849562935,195.59859986735137,-17.156791474079085,convergence,9982.843208525921,10000.0,BTC_may,False,
2,90000.0,2025-05-01 04:00:00+00:00,2025-05-01 05:00:00+00:00,NO,0.695,0.685,0.0421031780521107,0.0553493468782559,803.8704851158733,245.1804979603414,-6.913286171996589,convergence,9975.929922353924,9982.843208525921,BTC_may,False,
3,105000.0,2025-05-01 08:00:00+00:00,2025-05-01 09:00:00+00:00,YES,0.385,0.395,-0.0291531819530537,-0.0342456462093669,440.6516669352983,169.65089177008986,-5.9047323369329945,convergence,9970.025190016991,9975.929922353924,BTC_may,False,
4,85000.0,2025-05-01 12:00:00+00:00,2025-05-01 13:00:00+00:00,NO,0.36,0.34,0.0400555532140918,-0.0101899143160394,363.9953283609284,232.95701015099417,-6.91591123885766,convergence,9963.109278778134,9970.025190016991,BTC_may,False,
5,90000.0,2025-05-01 16:00:00+00:00,2025-05-01 17:00:00+00:00,NO,0.6,0.575,0.0656158887000408,0.0319427823666302,953.3683097496979,381.3473238998792,0.23834207743743718,take_profit,9963.347620855571,9963.109278778134,BTC_may,False,Cooldown started after 5 consecutive losses
6,90000.0,2025-05-01 20:00:00+00:00,2025-05-01 21:00:00+00:00,NO,0.61,0.62,0.0493531362578111,0.065878028603227,735.4823010709747,286.83809741768016,-24.344464165449267,convergence,9939.003156690122,9963.347620855571,BTC_may,False,Cooldown started after 5 consecutive losses
7,85000.0,2025-05-02 00:00:00+00:00,2025-05-02 01:00:00+00:00,NO,0.33,0.31,0.0421703669638464,0.0198378953703519,364.91540704069064,244.4933227172627,-7.5902404664463745,convergence,9931.412916223675,9939.003156690122,BTC_may,False,Cooldown started after 5 consecutive losses
8,90000.0,2025-05-02 04:00:00+00:00,2025-05-02 05:00:00+00:00,NO,0.575,0.59,0.0436648671085374,0.0458437556198459,595.2111326094964,252.964731359036,-23.83820586101035,convergence,9907.574710362665,9931.412916223675,BTC_may,False,
9,90000.0,2025-05-02 08:00:00+00:00,2025-05-02 09:00:00+00:00,NO,0.61,0.6,0.0570604370662717,0.0463617161729434,845.5798723675725,329.7761502233533,-11.584444251435684,convergence,9895.99026611123,9907.574710362665,BTC_may,False,
10,90000.0,2025-05-02 12:00:00+00:00,2025-05-02 13:00:00+00:00,NO,0.565,0.555,0.0508371753089131,0.0195672490049544,674.6339739645899,293.46577867459666,-11.063997173019345,convergence,9884.92626893821,9895.99026611123,BTC_may,False,Cooldown started after 5 consecutive losses
