trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,block_trade_leg_count,block_trade_id,amount,combo_id,block_rfq_id,unix_sec
785,370165190,1749101827676,3,0.0026,0.00261924,50.33,BTC-25JUL25-150000-C,104880.07,sell,0.1,,,0.1,,,1749101827.676
786,370165639,1749102479599,2,0.0024,0.00250113,49.78,BTC-25JUL25-150000-C,104760.76,sell,0.1,,,0.1,,,1749102479.599
787,370165640,1749102479620,3,0.0024,0.00250113,49.78,BTC-25JUL25-150000-C,104760.76,buy,0.9,,,0.9,,,1749102479.62
788,370180674,1749117481770,0,0.0026,0.0025473,50.42,BTC-25JUL25-150000-C,104917.45,buy,9.2,,,9.2,,,1749117481.77
789,370181341,1749118500834,1,0.0026,0.00258286,50.47,BTC-25JUL25-150000-C,104868.17,sell,0.1,,,0.1,,,1749118500.834
790,370181343,1749118509949,2,0.0025,0.00258246,50.13,BTC-25JUL25-150000-C,104869.01,sell,0.4,,,0.4,,,1749118509.949
791,370188296,1749125937941,0,0.0027,0.00268478,50.46,BTC-25JUL25-150000-C,105231.19,buy,3.5,,,3.5,,,1749125937.941
792,370195210,1749128014343,0,0.0028,0.00292738,50.17,BTC-25JUL25-150000-C,105766.62,sell,0.1,,,0.1,,,1749128014.343
793,370201012,1749130676277,2,0.0027,0.00280083,49.98,BTC-25JUL25-150000-C,105655.57,sell,0.1,,,0.1,,,1749130676.277
794,370203615,1749131417706,2,0.0026,0.00259952,50.37,BTC-25JUL25-150000-C,105005.35,sell,0.1,,,0.1,,,1749131417.706
795,370203631,1749131426603,2,0.0025,0.00259836,50.02,BTC-25JUL25-150000-C,105009.14,sell,0.9,,,0.9,,,1749131426.603
796,370225550,1749136708553,3,0.0025,0.00254918,50.63,BTC-25JUL25-150000-C,104474.9,sell,0.1,,,0.1,,,1749136708.553
797,370266677,1749149053119,2,0.0022,0.00221716,51.42,BTC-25JUL25-150000-C,102885.87,sell,0.1,,,0.1,,,1749149053.119
798,370271348,1749150950211,3,0.0022,0.00214813,51.8,BTC-25JUL25-150000-C,102554.64,sell,0.1,,,0.1,,,1749150950.211
