trade_id,strike,market,side,entry_time,exit_time,entry_prob,exit_prob,size,pnl,capital,exit_reason,capital_after_trade,capital_at_trade_entry_snapshot,in_cooldown,cooldown_reason
1,1800.0,ETH_june,short,2025-05-31 02:00:00+00:00,2025-05-31 06:00:00+00:00,0.495,0.115,500.0,190.0,10190.0,take_profit,10190.0,10000.0,False,
2,2200.0,ETH_june,long,2025-05-31 03:00:00+00:00,2025-06-02 04:00:00+00:00,0.5,0.52,405.06885533568004,8.101377106713608,10278.101377106714,max_hold,10198.101377106714,10190.0,False,
3,2300.0,ETH_june,long,2025-05-31 06:00:00+00:00,2025-06-01 14:00:00+00:00,0.54,0.7,500.0,79.99999999999996,10270.0,convergence,10278.101377106714,10198.101377106714,False,
4,2700.0,ETH_june,long,2025-06-01 14:00:00+00:00,2025-06-03 03:00:00+00:00,0.67,0.86,403.8645288269035,76.73426047711165,10456.218902918426,convergence,10354.835637583825,10278.101377106714,False,
5,2800.0,ETH_june,long,2025-06-02 04:00:00+00:00,2025-06-03 02:00:00+00:00,0.53,0.75,460.83302424819055,101.38326533460192,10379.484642441315,convergence,10456.218902918426,10354.835637583825,False,
6,2300.0,ETH_june,long,2025-06-03 02:00:00+00:00,2025-06-05 03:00:00+00:00,0.47,0.475,500.0,2.500000000000002,10458.718902918426,max_hold,10458.718902918426,10456.218902918426,False,
7,3200.0,ETH_june,long,2025-06-03 03:00:00+00:00,2025-06-05 04:00:00+00:00,0.255,0.24,500.0,-7.500000000000007,10451.218902918426,max_hold,10451.218902918426,10458.718902918426,False,
8,3000.0,ETH_june,long,2025-06-05 03:00:00+00:00,2025-06-05 21:00:00+00:00,0.405,0.195,500.0,-105.00000000000001,10308.525182067657,stop_loss,10346.218902918426,10451.218902918426,False,
9,2800.0,ETH_june,long,2025-06-05 04:00:00+00:00,2025-06-05 13:00:00+00:00,0.7,0.705,353.6785767801942,1.7683928839009726,10452.987295802328,convergence,10347.987295802328,10346.218902918426,False,
10,3200.0,ETH_june,long,2025-06-05 13:00:00+00:00,2025-06-05 20:00:00+00:00,0.27,0.185,464.2601615843666,-39.46211373467117,10413.525182067657,stop_loss,10308.525182067657,10347.987295802328,False,
11,2800.0,ETH_june,short,2025-06-05 20:00:00+00:00,2025-06-07 21:00:00+00:00,0.54,0.495,267.236488073935,12.025641963327086,10368.050824030985,max_hold,10320.550824030985,10308.525182067657,False,
12,3000.0,ETH_june,long,2025-06-05 21:00:00+00:00,2025-06-06 14:00:00+00:00,0.195,0.29,500.0,47.499999999999986,10356.025182067657,take_profit,10368.050824030985,10320.550824030985,False,
13,3200.0,ETH_june,long,2025-06-06 14:00:00+00:00,2025-06-08 15:00:00+00:00,0.175,0.155,500.0,-9.999999999999995,10358.050824030985,max_hold,10358.050824030985,10368.050824030985,False,
14,1800.0,ETH_june,long,2025-06-07 21:00:00+00:00,2025-06-09 12:00:00+00:00,0.095,0.065,477.2553952663088,-14.317661857989265,10357.611514338098,stop_loss,10343.733162172995,10358.050824030985,False,
15,2700.0,ETH_june,long,2025-06-08 15:00:00+00:00,2025-06-08 22:00:00+00:00,0.67,0.71,346.9588041275751,13.878352165102978,10371.929176196087,convergence,10357.611514338098,10343.733162172995,False,
16,2800.0,ETH_june,long,2025-06-08 22:00:00+00:00,2025-06-10 00:00:00+00:00,0.53,0.775,423.4027908909046,103.73368376827163,10383.59942144295,take_profit,10461.34519810637,10357.611514338098,False,
17,2300.0,ETH_june,long,2025-06-09 12:00:00+00:00,2025-06-09 23:00:00+00:00,0.545,0.375,457.3280980201116,-77.745776663419,10279.865737674678,stop_loss,10383.59942144295,10461.34519810637,False,
18,3000.0,ETH_june,long,2025-06-09 23:00:00+00:00,2025-06-10 23:00:00+00:00,0.445,0.715,500.0,134.99999999999997,10513.737639688903,take_profit,10518.59942144295,10383.59942144295,False,
19,1800.0,ETH_june,long,2025-06-10 00:00:00+00:00,2025-06-10 22:00:00+00:00,0.055,0.038,285.9871620027798,-4.861781754047257,10378.737639688903,stop_loss,10513.737639688903,10518.59942144295,False,
20,2000.0,ETH_june,long,2025-06-10 22:00:00+00:00,2025-06-11 15:00:00+00:00,0.105,0.07,440.3906669635158,-15.413673343723048,10498.32396634518,stop_loss,10498.32396634518,10513.737639688903,False,
21,3200.0,ETH_june,long,2025-06-10 23:00:00+00:00,2025-06-12 08:00:00+00:00,0.425,0.29,500.0,-67.5,10430.82396634518,stop_loss,10430.82396634518,10498.32396634518,False,
22,2200.0,ETH_june,long,2025-06-11 15:00:00+00:00,2025-06-12 21:00:00+00:00,0.16,0.285,500.0,62.499999999999986,10493.32396634518,take_profit,10493.32396634518,10430.82396634518,False,
23,2300.0,ETH_june,long,2025-06-12 08:00:00+00:00,2025-06-13 01:00:00+00:00,0.295,0.57,500.0,137.49999999999997,10630.82396634518,take_profit,10630.82396634518,10493.32396634518,False,
24,2200.0,ETH_june,long,2025-06-12 21:00:00+00:00,2025-06-13 01:00:00+00:00,0.285,0.42,500.0,67.5,10698.32396634518,take_profit,10698.32396634518,10630.82396634518,False,
