"Date (UTC)","Timestamp (UTC)","Price"
"06-05-2025 21:00","1749157207","0.955"
"06-05-2025 22:00","1749160807","0.865"
"06-05-2025 23:00","1749164406","0.86"
"06-06-2025 00:00","1749168006","0.855"
"06-06-2025 01:00","1749171607","0.83"
"06-06-2025 02:00","1749175206","0.85"
"06-06-2025 03:00","1749178806","0.82"
"06-06-2025 04:00","1749182406","0.805"
"06-06-2025 05:00","1749186007","0.775"
"06-06-2025 06:00","1749189607","0.765"
"06-06-2025 07:00","1749193205","0.755"
"06-06-2025 08:00","1749196806","0.75"
"06-06-2025 09:00","1749200407","0.725"
"06-06-2025 10:00","1749204007","0.73"
"06-06-2025 11:00","1749207606","0.715"
"06-06-2025 12:00","1749211206","0.705"
"06-06-2025 13:00","1749214806","0.71"
"06-06-2025 14:00","1749218406","0.69"
"06-06-2025 15:00","1749222006","0.64"
"06-06-2025 16:00","1749225607","0.625"
"06-06-2025 17:00","1749229207","0.655"
"06-06-2025 18:00","1749232807","0.635"
"06-06-2025 19:00","1749236407","0.67"
"06-06-2025 20:00","1749240007","0.685"
"06-06-2025 21:00","1749243607","0.67"
"06-06-2025 22:00","1749247207","0.68"
"06-06-2025 23:00","1749250806","0.66"
"06-07-2025 00:00","1749254407","0.675"
"06-07-2025 01:00","1749258005","0.655"
"06-07-2025 02:00","1749261606","0.66"
"06-07-2025 03:00","1749265207","0.645"
"06-07-2025 04:00","1749268807","0.625"
"06-07-2025 05:00","1749272406","0.63"
"06-07-2025 06:00","1749276006","0.62"
"06-07-2025 07:00","1749279607","0.585"
"06-07-2025 08:00","1749283207","0.595"
"06-07-2025 09:00","1749286808","0.625"
"06-07-2025 10:00","1749290407","0.615"
"06-07-2025 11:00","1749294007","0.595"
"06-07-2025 12:00","1749297608","0.595"
"06-07-2025 13:00","1749301207","0.57"
"06-07-2025 14:00","1749304807","0.57"
"06-07-2025 15:00","1749308408","0.58"
"06-07-2025 16:00","1749312006","0.575"
"06-07-2025 17:00","1749315607","0.58"
"06-07-2025 18:00","1749319207","0.57"
"06-07-2025 19:00","1749322807","0.565"
"06-07-2025 20:00","1749326408","0.565"
"06-07-2025 21:00","1749330008","0.55"
"06-07-2025 22:00","1749333607","0.56"
"06-07-2025 23:00","1749337207","0.56"
"06-08-2025 00:00","1749340807","0.57"
"06-08-2025 01:00","1749344407","0.58"
"06-08-2025 02:00","1749348007","0.565"
"06-08-2025 03:00","1749351606","0.58"
"06-08-2025 04:00","1749355207","0.585"
"06-08-2025 05:00","1749358807","0.575"
"06-08-2025 06:00","1749362407","0.58"
"06-08-2025 07:00","1749366007","0.575"
"06-08-2025 08:00","1749369606","0.575"
"06-08-2025 09:00","1749373206","0.575"
"06-08-2025 10:00","1749376807","0.58"
"06-08-2025 11:00","1749380407","0.565"
"06-08-2025 12:00","1749384007","0.555"
"06-08-2025 13:00","1749387607","0.545"
"06-08-2025 14:00","1749391207","0.555"
"06-08-2025 15:00","1749394807","0.545"
"06-08-2025 16:00","1749398406","0.53"
"06-08-2025 17:00","1749402007","0.51"
"06-08-2025 18:00","1749405607","0.52"
"06-08-2025 19:00","1749409208","0.51"
"06-08-2025 20:00","1749412806","0.51"
"06-08-2025 21:00","1749416407","0.51"
"06-08-2025 22:00","1749420006","0.5"
"06-08-2025 23:00","1749423607","0.535"
"06-09-2025 00:00","1749427207","0.54"
"06-09-2025 01:00","1749430807","0.535"
"06-09-2025 02:00","1749434406","0.545"
"06-09-2025 03:00","1749438006","0.54"
"06-09-2025 04:00","1749441606","0.53"
"06-09-2025 05:00","1749445207","0.525"
"06-09-2025 06:00","1749448807","0.53"
"06-09-2025 07:00","1749452406","0.515"
"06-09-2025 08:00","1749456007","0.535"
"06-09-2025 09:00","1749459607","0.495"
"06-09-2025 10:00","1749463206","0.455"
"06-09-2025 11:00","1749466807","0.44"
"06-09-2025 12:00","1749470407","0.405"
"06-09-2025 13:00","1749474007","0.405"
"06-09-2025 14:00","1749477606","0.445"
"06-09-2025 15:00","1749481207","0.395"
"06-09-2025 16:00","1749484806","0.395"
"06-09-2025 17:00","1749488407","0.395"
"06-09-2025 18:00","1749492007","0.345"
"06-09-2025 19:00","1749495607","0.355"
"06-09-2025 20:00","1749499206","0.345"
"06-09-2025 21:00","1749502806","0.345"
"06-09-2025 22:00","1749506406","0.29"
"06-09-2025 23:00","1749510007","0.295"
"06-10-2025 00:00","1749513606","0.29"
"06-10-2025 01:00","1749517206","0.295"
"06-10-2025 02:00","1749520806","0.305"
"06-10-2025 03:00","1749524407","0.305"
"06-10-2025 04:00","1749528006","0.305"
"06-10-2025 05:00","1749531607","0.31"
"06-10-2025 06:00","1749535207","0.315"
"06-10-2025 07:00","1749538807","0.31"
"06-10-2025 08:00","1749542407","0.325"
"06-10-2025 09:00","1749546006","0.33"
"06-10-2025 10:00","1749549607","0.305"
"06-10-2025 11:00","1749553207","0.315"
"06-10-2025 12:00","1749556807","0.315"
"06-10-2025 13:00","1749560407","0.315"
"06-10-2025 14:00","1749564007","0.325"
"06-10-2025 15:00","1749567607","0.375"
"06-10-2025 16:00","1749571207","0.35"
"06-10-2025 17:00","1749574807","0.37"
"06-10-2025 18:00","1749578407","0.37"
"06-10-2025 19:00","1749582007","0.325"
"06-10-2025 20:00","1749585607","0.325"
"06-10-2025 21:00","1749589207","0.3"
"06-10-2025 22:00","1749592807","0.315"
"06-10-2025 23:00","1749596407","0.32"
"06-11-2025 00:00","1749600007","0.295"
"06-11-2025 01:00","1749603607","0.305"
"06-11-2025 02:00","1749607207","0.315"
"06-11-2025 03:00","1749610806","0.31"
"06-11-2025 04:00","1749614407","0.315"
"06-11-2025 05:00","1749618007","0.315"
"06-11-2025 06:00","1749621606","0.315"
"06-11-2025 07:00","1749625207","0.32"
"06-11-2025 08:00","1749628807","0.32"
"06-11-2025 09:00","1749632407","0.32"
"06-11-2025 10:00","1749636007","0.335"
"06-11-2025 11:00","1749639607","0.315"
"06-11-2025 12:00","1749643207","0.33"
"06-11-2025 13:00","1749646807","0.305"
"06-11-2025 14:00","1749650408","0.31"
"06-11-2025 15:00","1749654008","0.29"
"06-11-2025 16:00","1749657607","0.295"
"06-11-2025 17:00","1749661207","0.315"
"06-11-2025 18:00","1749664807","0.325"
"06-11-2025 19:00","1749668407","0.33"
"06-11-2025 20:00","1749672008","0.33"
"06-11-2025 21:00","1749675606","0.315"
"06-11-2025 22:00","1749679208","0.34"
"06-11-2025 23:00","1749682807","0.34"
"06-12-2025 00:00","1749686407","0.32"
"06-12-2025 01:00","1749690007","0.315"
