"Date (UTC)","Timestamp (UTC)","150k","120k","115k","110k","100k","95k","90k","60k"
"06-02-2025 10:00","1748858406","0.0135","0.23","0.395","0.65","0.725","0.445","0.23","0.0095"
"06-02-2025 11:00","1748862006","0.0115","0.225","0.39","0.64","0.73","0.445","0.23","0.0095"
"06-02-2025 12:00","1748865607","0.0115","0.195","0.375","0.62","0.745","0.455","0.235","0.0085"
"06-02-2025 13:00","1748869206","0.0115","0.185","0.375","0.625","0.735","0.455","0.235","0.0085"
"06-02-2025 14:00","1748872807","0.0115","0.205","0.365","0.615","0.755","0.465","0.245","0.0085"
"06-02-2025 15:00","1748876405","0.014","0.205","0.375","0.635","0.73","0.45","0.23","0.009"
"06-02-2025 16:00","1748880007","0.014","0.2","0.385","0.65","0.705","0.425","0.22","0.0085"
"06-02-2025 17:00","1748883606","0.014","0.2","0.38","0.64","0.715","0.43","0.23","0.008"
"06-02-2025 18:00","1748887207","0.0135","0.21","0.38","0.64","0.695","0.425","0.235","0.0065"
"06-02-2025 19:00","1748890807","0.015","0.215","0.375","0.635","0.7","0.43","0.23","0.0065"
"06-02-2025 20:00","1748894406","0.0135","0.215","0.385","0.64","0.705","0.425","0.22","0.0085"
"06-02-2025 21:00","1748898007","0.014","0.22","0.395","0.67","0.68","0.405","0.215","0.0085"
"06-02-2025 22:00","1748901607","0.0145","0.2","0.395","0.665","0.685","0.41","0.215","0.0085"
"06-02-2025 23:00","1748905207","0.0155","0.235","0.415","0.715","0.635","0.37","0.19","0.0085"
"06-03-2025 00:00","1748908807","0.0155","0.245","0.445","0.73","0.625","0.37","0.185","0.0085"
"06-03-2025 01:00","1748912406","0.015","0.265","0.47","0.755","0.585","0.34","0.175","0.0085"
"06-03-2025 02:00","1748916006","0.016","0.26","0.47","0.77","0.585","0.335","0.175","0.0085"
"06-03-2025 03:00","1748919607","0.016","0.245","0.45","0.71","0.615","0.365","0.19","0.0085"
"06-03-2025 04:00","1748923207","0.0145","0.245","0.425","0.71","0.62","0.375","0.195","0.0085"
"06-03-2025 05:00","1748926807","0.015","0.245","0.415","0.69","0.635","0.385","0.205","0.0085"
"06-03-2025 06:00","1748930407","0.014","0.245","0.43","0.7","0.63","0.38","0.195","0.008"
"06-03-2025 07:00","1748934006","0.014","0.245","0.43","0.7","0.63","0.38","0.19","0.008"
"06-03-2025 08:00","1748937605","0.014","0.245","0.425","0.695","0.635","0.38","0.2","0.008"
"06-03-2025 09:00","1748941206","0.014","0.24","0.415","0.685","0.645","0.395","0.21","0.0085"
"06-03-2025 10:00","1748944806","0.0135","0.235","0.41","0.685","0.63","0.385","0.195","0.0085"
"06-03-2025 11:00","1748948406","0.013","0.225","0.405","0.685","0.635","0.375","0.19","0.0085"
"06-03-2025 12:00","1748952006","0.0125","0.22","0.405","0.69","0.635","0.385","0.195","0.008"
"06-03-2025 13:00","1748955606","0.0125","0.225","0.405","0.685","0.63","0.38","0.195","0.0085"
"06-03-2025 14:00","1748959206","0.0125","0.23","0.415","0.695","0.62","0.365","0.19","0.008"
"06-03-2025 15:00","1748962806","0.0125","0.265","0.475","0.765","0.565","0.33","0.145","0.008"
"06-03-2025 16:00","1748966406","0.0135","0.26","0.475","0.75","0.58","0.33","0.155","0.0075"
"06-03-2025 17:00","1748970006","0.015","0.235","0.425","0.705","0.62","0.35","0.165","0.0075"
"06-03-2025 18:00","1748973606","0.015","0.235","0.435","0.71","0.615","0.345","0.165","0.0085"
"06-03-2025 19:00","1748977206","0.015","0.23","0.435","0.705","0.61","0.34","0.16","0.008"
"06-03-2025 20:00","1748980806","0.015","0.24","0.45","0.735","0.595","0.33","0.16","0.008"
"06-03-2025 21:00","1748984406","0.0145","0.23","0.42","0.695","0.62","0.35","0.17","0.008"
"06-03-2025 22:00","1748988006","0.014","0.225","0.415","0.665","0.64","0.37","0.185","0.008"
"06-03-2025 23:00","1748991605","0.0145","0.23","0.42","0.68","0.625","0.355","0.17","0.008"
"06-04-2025 00:00","1748995206","0.014","0.215","0.415","0.665","0.645","0.37","0.18","0.0085"
"06-04-2025 01:00","1748998806","0.014","0.215","0.41","0.665","0.645","0.37","0.18","0.0085"
"06-04-2025 02:00","1749002407","0.0145","0.215","0.405","0.68","0.63","0.36","0.175","0.0095"
"06-04-2025 03:00","1749006006","0.014","0.22","0.41","0.675","0.635","0.36","0.165","0.0095"
"06-04-2025 04:00","1749009606","0.014","0.21","0.41","0.685","0.63","0.36","0.165","0.0095"
"06-04-2025 05:00","1749013206","0.0135","0.21","0.41","0.675","0.64","0.36","0.175","0.0095"
"06-04-2025 06:00","1749016806","0.0135","0.215","0.41","0.675","0.645","0.36","0.175","0.01"
"06-04-2025 07:00","1749020405","0.0135","0.21","0.405","0.67","0.645","0.36","0.175","0.0095"
"06-04-2025 08:00","1749024006","0.014","0.205","0.405","0.67","0.64","0.355","0.175","0.008"
"06-04-2025 09:00","1749027606","0.0135","0.215","0.405","0.67","0.635","0.345","0.175","0.008"
"06-04-2025 10:00","1749031206","0.0135","0.225","0.425","0.695","0.615","0.335","0.165","0.008"
"06-04-2025 11:00","1749034806","0.015","0.225","0.425","0.705","0.625","0.335","0.165","0.008"
