trade_id,strike,entry_time,exit_time,trade_type,entry_poly_prob,exit_poly_prob,divergence_at_entry,divergence_at_exit,units,investment_amount,pnl,exit_reason,capital_after_trade,capital_at_trade_entry_snapshot,market,in_cooldown,cooldown_reason
1,85000.0,2025-05-01 00:00:00+00:00,2025-05-01 01:00:00+00:00,YES,0.32,0.315,-0.0706906031156905,-0.0646575123822035,1012.4956175424421,323.99859761358147,-24.350519601895712,stop_loss,9975.649480398104,10000.0,BTC_may,False,
2,85000.0,2025-05-01 01:00:00+00:00,2025-05-01 02:00:00+00:00,YES,0.315,0.42,-0.0646575123822035,0.0461670848934393,938.4930526181198,295.6253115747077,77.84799871467305,take_profit,10053.497479112777,9975.649480398104,BTC_may,False,
3,85000.0,2025-05-01 02:00:00+00:00,2025-05-01 03:00:00+00:00,NO,0.42,0.405,0.0461670848934393,0.027666870006856,366.77782956436454,212.73114114733144,-7.427251048678414,convergence,10046.070228064098,10053.497479112777,BTC_may,False,
4,105000.0,2025-05-01 03:00:00+00:00,2025-05-01 04:00:00+00:00,YES,0.35,0.355,-0.0450332941232591,-0.0434450154677069,592.4385701186429,207.35349954152503,-9.567882907416106,convergence,10036.502345156681,10046.070228064098,BTC_may,False,
5,90000.0,2025-05-01 04:00:00+00:00,2025-05-01 05:00:00+00:00,NO,0.695,0.685,0.0421031780521107,0.0553493468782559,635.0075270278885,193.67729574350602,-5.461064732439922,convergence,10031.04128042424,10036.502345156681,BTC_may,False,
6,85000.0,2025-05-01 05:00:00+00:00,2025-05-01 06:00:00+00:00,NO,0.405,0.375,0.0515485607940919,0.0103611564831165,398.31534691820315,236.99763141633088,-2.6288812896601144,take_profit,10028.41239913458,10031.04128042424,BTC_may,False,
7,100000.0,2025-05-01 06:00:00+00:00,2025-05-01 07:00:00+00:00,NO,0.695,0.675,0.0435196935036417,0.0148957916532235,655.8425919840206,200.0319905551263,0.7214268511823718,take_profit,10029.133825985762,10028.41239913458,BTC_may,False,
8,85000.0,2025-05-01 07:00:00+00:00,2025-05-01 08:00:00+00:00,NO,0.405,0.385,0.0468105034218839,0.0352579004622254,361.6356327785871,215.1732015032593,-5.894660814290944,convergence,10023.239165171472,10029.133825985762,BTC_may,False,Cooldown started after 5 consecutive losses
9,85000.0,2025-05-01 09:00:00+00:00,2025-05-01 10:00:00+00:00,NO,0.4,0.38,0.0574244939261318,0.0513315797449864,439.67873626153585,263.8072417569215,-7.298667021941526,convergence,10015.94049814953,10023.239165171472,BTC_may,True,Cooldown until 2025-07-01 05:00:00+00:00
10,85000.0,2025-05-01 10:00:00+00:00,2025-05-01 11:00:00+00:00,NO,0.38,0.355,0.0513315797449864,0.0271011767777006,380.0722132002567,235.64477218415917,-4.92193516094332,convergence,10011.018562988587,10015.94049814953,BTC_may,True,Cooldown until 2025-07-01 05:00:00+00:00
11,90000.0,2025-05-01 11:00:00+00:00,2025-05-01 12:00:00+00:00,NO,0.63,0.625,0.0468210699595305,0.0542680225581324,580.6297979214328,214.83302523093013,-10.073926993936851,convergence,10000.94463599465,10011.018562988587,BTC_may,False,
12,85000.0,2025-05-01 12:00:00+00:00,2025-05-01 13:00:00+00:00,NO,0.36,0.34,0.0400555532140918,-0.0101899143160394,286.8832728281882,183.60529461004043,-5.450782183735583,convergence,9995.493853810915,10000.94463599465,BTC_may,False,Cooldown started after 5 consecutive losses
13,100000.0,2025-05-01 13:00:00+00:00,2025-05-01 14:00:00+00:00,NO,0.775,0.75,0.0552567965476548,-0.0334838413852095,1125.0941987050014,253.1461947086253,12.094762636078826,take_profit,10007.588616446994,9995.493853810915,BTC_may,True,Cooldown started after 5 consecutive losses
14,85000.0,2025-05-01 14:00:00+00:00,2025-05-01 15:00:00+00:00,NO,0.365,0.325,0.0557419378129683,0.017060785573746,402.64213946675466,255.67775856138923,0.2818494976267516,take_profit,10007.870465944621,10007.588616446994,BTC_may,True,Cooldown until 2025-05-31 13:00:00+00:00
15,90000.0,2025-05-01 15:00:00+00:00,2025-05-01 16:00:00+00:00,NO,0.6,0.6,0.0575255756679465,0.0656158887000408,659.6660007709116,263.8664003083647,-15.831984018501885,convergence,9992.03848192612,10007.870465944621,BTC_may,True,Cooldown started after 5 consecutive losses
16,90000.0,2025-05-01 16:00:00+00:00,2025-05-01 17:00:00+00:00,NO,0.6,0.575,0.0656158887000408,0.0319427823666302,751.2501389669254,300.5000555867702,0.1878125347417381,take_profit,9992.226294460861,9992.03848192612,BTC_may,True,Cooldown until 2025-07-01 12:00:00+00:00
17,90000.0,2025-05-01 18:00:00+00:00,2025-05-01 19:00:00+00:00,NO,0.6,0.59,0.0638606319160191,0.0344638867682874,731.1675770347358,292.4670308138943,-10.455696351596657,convergence,9981.770598109264,9992.226294460861,BTC_may,True,Cooldown until 2025-07-01 12:00:00+00:00
18,90000.0,2025-05-01 20:00:00+00:00,2025-05-01 21:00:00+00:00,NO,0.61,0.62,0.0493531362578111,0.065878028603227,578.9474923771041,225.78952202707063,-19.163161997682153,stop_loss,9962.607436111583,9981.770598109264,BTC_may,False,
19,90000.0,2025-05-01 21:00:00+00:00,2025-05-01 22:00:00+00:00,NO,0.62,0.61,0.065878028603227,0.0507707428480252,791.6103414504054,300.811929751154,-10.370095473000276,convergence,9952.237340638581,9962.607436111583,BTC_may,False,
20,90000.0,2025-05-01 22:00:00+00:00,2025-05-01 23:00:00+00:00,NO,0.61,0.61,0.0507707428480252,0.0579028083981262,593.8148836137646,231.5878046093682,-13.895268276562092,convergence,9938.342072362018,9952.237340638581,BTC_may,False,
21,90000.0,2025-05-01 23:00:00+00:00,2025-05-02 00:00:00+00:00,NO,0.61,0.605,0.0579028083981262,0.0857377554460574,676.2860133462783,263.75154520504856,-12.545105547573428,convergence,9925.796966814445,9938.342072362018,BTC_may,False,Cooldown started after 5 consecutive losses
22,85000.0,2025-05-02 00:00:00+00:00,2025-05-02 01:00:00+00:00,NO,0.33,0.31,0.0421703669638464,0.0198378953703519,286.33827770467605,191.84664606213295,-5.9558361762572645,convergence,9919.841130638188,9925.796966814445,BTC_may,True,Cooldown started after 5 consecutive losses
23,90000.0,2025-05-02 01:00:00+00:00,2025-05-02 02:00:00+00:00,NO,0.58,0.58,0.0525009766161597,0.0517895679748593,568.3348035309731,238.7006174830087,-14.32203704898049,convergence,9905.519093589208,9919.841130638188,BTC_may,True,Cooldown until 2025-07-01 19:00:00+00:00
24,90000.0,2025-05-02 02:00:00+00:00,2025-05-02 03:00:00+00:00,NO,0.58,0.575,0.0517895679748593,0.0482188863558002,559.8242161369801,235.12617077753166,-11.392422798387514,convergence,9894.12667079082,9905.519093589208,BTC_may,True,Cooldown until 2025-07-01 19:00:00+00:00
25,90000.0,2025-05-02 03:00:00+00:00,2025-05-02 04:00:00+00:00,NO,0.575,0.575,0.0482188863558002,0.0436648671085374,514.5021043937551,218.66339436734592,-13.11980366204071,convergence,9881.006867128779,9894.12667079082,BTC_may,True,Cooldown until 2025-05-31 23:00:00+00:00
26,90000.0,2025-05-02 04:00:00+00:00,2025-05-02 05:00:00+00:00,NO,0.575,0.59,0.0436648671085374,0.0458437556198459,465.2922911048004,197.7492237195402,-18.63495625874728,stop_loss,9862.371910870032,9881.006867128779,BTC_may,False,
27,90000.0,2025-05-02 05:00:00+00:00,2025-05-02 06:00:00+00:00,NO,0.59,0.595,0.0458437556198459,0.0445653011579501,505.4278297615392,207.2254102022311,-14.884849586477344,convergence,9847.487061283555,9862.371910870032,BTC_may,False,
