trade_id,strike,entry_time,exit_time,trade_type,entry_poly_prob,exit_poly_prob,divergence_at_entry,divergence_at_exit,units,investment_amount,pnl,exit_reason,capital_after_trade,capital_at_trade_entry_snapshot,market,in_cooldown,cooldown_reason
2,90000.0,2025-05-01 00:00:00+00:00,2025-05-01 06:00:00+00:00,NO,0.725,0.665,0.0426171722301299,0.0124532214052375,626.1250046467023,172.18437627784314,26.109412693767467,convergence,10026.109412693768,10000.0,BTC_may,False,
1,85000.0,2025-05-01 00:00:00+00:00,2025-05-01 06:00:00+00:00,YES,0.32,0.375,-0.0706906031156905,0.0103611564831165,920.4505614022202,294.54417964871044,31.43338667188584,convergence,10057.542799365654,10026.109412693768,BTC_may,False,
3,100000.0,2025-05-01 01:00:00+00:00,2025-05-01 02:00:00+00:00,NO,0.695,0.645,0.0599398454335421,-0.0030419558670371,779.4857209135427,237.74314487863055,23.540468771588905,convergence,10081.083268137243,10057.542799365654,BTC_may,False,
4,105000.0,2025-05-01 02:00:00+00:00,2025-05-01 06:00:00+00:00,YES,0.355,0.39,-0.0454615734204218,-0.0091748666959778,509.1915023539745,180.76298333566095,6.4412725047778,convergence,10087.524540642022,10081.083268137243,BTC_may,False,
5,110000.0,2025-05-01 04:00:00+00:00,2025-05-01 16:00:00+00:00,YES,0.205,0.31,-0.040362874195728,-0.0118257707358749,767.6021235945444,157.3584353368816,68.73877016789146,convergence,10156.263310809913,10087.524540642022,BTC_may,False,
6,100000.0,2025-05-01 06:00:00+00:00,2025-05-01 07:00:00+00:00,NO,0.695,0.675,0.0435196935036417,0.0148957916532235,590.0988246131813,179.9801415070203,0.649108707074447,convergence,10156.912419516986,10156.26331080991,BTC_may,False,
7,85000.0,2025-05-01 07:00:00+00:00,2025-05-01 13:00:00+00:00,NO,0.405,0.34,0.0468105034218839,-0.0101899143160394,325.38198790640143,193.60228280430886,8.899197369240056,convergence,10165.811616886227,10156.912419516986,BTC_may,False,
9,115000.0,2025-05-01 09:00:00+00:00,2025-05-01 17:00:00+00:00,YES,0.115,0.18,-0.0413247016452144,-0.0113781059078709,1415.4677839578658,162.77879515515457,79.47851606923416,convergence,10245.29013295546,10165.811616886227,BTC_may,False,
8,90000.0,2025-05-01 09:00:00+00:00,2025-05-02 15:00:00+00:00,NO,0.675,0.515,0.0654081954249907,0.0121512852999773,815.6472501051703,265.0853562841803,110.68333183927166,convergence,10355.973464794732,10245.29013295546,BTC_may,False,
10,105000.0,2025-05-01 10:00:00+00:00,2025-05-01 11:00:00+00:00,YES,0.415,0.46,-0.0566048800413436,-0.0123644174133613,527.7429842292706,219.0133384551473,9.895180954298837,convergence,10365.868645749031,10355.973464794732,BTC_may,False,
11,100000.0,2025-05-01 13:00:00+00:00,2025-05-01 15:00:00+00:00,NO,0.775,0.8,0.0552567965476548,0.0130924658926794,972.5389348959174,218.82126035158137,-36.713344792320896,convergence,10329.15530095671,10365.868645749031,BTC_may,False,
12,85000.0,2025-05-01 14:00:00+00:00,2025-05-01 17:00:00+00:00,NO,0.365,0.31,0.0557419378129683,0.0043548578092489,339.38218653997654,215.5076884528851,5.1755783447346175,convergence,10334.330879301446,10329.15530095671,BTC_may,False,
