trade_id,strike,market,side,entry_time,exit_time,entry_prob,exit_prob,size,pnl,capital,exit_reason,capital_after_trade,capital_at_trade_entry_snapshot,in_cooldown,cooldown_reason
1,2700.0,ETH_june,long,2025-05-31 02:00:00+00:00,2025-05-31 03:00:00+00:00,0.68,0.385,206.71825027372248,-60.98188383074814,9939.018116169253,stop_loss,9939.018116169253,10000.0,False,
2,1800.0,ETH_june,short,2025-05-31 04:00:00+00:00,2025-05-31 06:00:00+00:00,0.495,0.115,500.0,190.0,10129.018116169253,take_profit,10129.018116169253,9939.018116169253,False,
3,2300.0,ETH_june,long,2025-05-31 06:00:00+00:00,2025-06-01 14:00:00+00:00,0.54,0.7,500.0,79.99999999999996,10209.018116169253,convergence,10209.018116169253,10129.018116169253,False,
4,2200.0,ETH_june,long,2025-05-31 08:00:00+00:00,2025-06-04 09:00:00+00:00,0.38,0.335,500.0,-22.499999999999993,10305.366124484295,max_hold,10186.518116169253,10209.018116169253,False,
5,2800.0,ETH_june,long,2025-05-31 10:00:00+00:00,2025-06-03 02:00:00+00:00,0.575,0.75,355.35898008527795,62.187821514923655,10271.205937684177,convergence,10248.705937684177,10186.518116169253,False,
6,1800.0,ETH_june,long,2025-05-31 12:00:00+00:00,2025-06-03 14:00:00+00:00,0.11,0.08,442.06280090663864,-13.261884027199159,10327.866124484295,stop_loss,10235.444053656978,10248.705937684177,False,
7,2700.0,ETH_june,long,2025-06-01 14:00:00+00:00,2025-06-03 03:00:00+00:00,0.67,0.86,368.0108990911408,69.92207082731673,10341.128008511494,convergence,10305.366124484295,10235.444053656978,False,
8,2300.0,ETH_june,long,2025-06-03 02:00:00+00:00,2025-06-05 21:00:00+00:00,0.47,0.82,500.0,175.0,10409.844174533999,take_profit,10480.366124484295,10305.366124484295,False,
9,2000.0,ETH_june,long,2025-06-03 04:00:00+00:00,2025-06-04 09:00:00+00:00,0.21,0.155,467.6504523814398,-25.720774880979185,10279.645349603315,stop_loss,10454.645349603315,10480.366124484295,False,
10,3200.0,ETH_june,long,2025-06-03 14:00:00+00:00,2025-06-05 20:00:00+00:00,0.265,0.185,500.0,-40.00000000000001,10234.844174533999,stop_loss,10414.645349603315,10454.645349603315,False,
11,2800.0,ETH_june,long,2025-06-04 09:00:00+00:00,2025-06-05 13:00:00+00:00,0.72,0.705,320.0783379544205,-4.8011750693163115,10274.844174533999,convergence,10409.844174533999,10414.645349603315,False,
12,2000.0,ETH_june,long,2025-06-04 11:00:00+00:00,2025-06-05 21:00:00+00:00,0.155,0.335,500.0,90.00000000000001,10499.844174533999,take_profit,10499.844174533999,10409.844174533999,False,
13,2200.0,ETH_june,long,2025-06-05 13:00:00+00:00,2025-06-05 21:00:00+00:00,0.335,0.65,500.0,157.5,10657.344174533999,take_profit,10657.344174533999,10499.844174533999,False,
14,3200.0,ETH_june,long,2025-06-05 20:00:00+00:00,2025-06-05 21:00:00+00:00,0.185,0.11,228.51381710100875,-17.138536282575657,10640.205638251424,stop_loss,10640.205638251424,10657.344174533999,False,
15,2700.0,ETH_june,long,2025-06-05 22:00:00+00:00,2025-06-08 22:00:00+00:00,0.555,0.71,386.372570933616,59.88774849471044,10646.882227195996,convergence,10700.093386746134,10640.205638251424,False,
16,2800.0,ETH_june,long,2025-06-06 00:00:00+00:00,2025-06-09 22:00:00+00:00,0.385,0.69,500.0,152.49999999999997,10769.382227195996,take_profit,10852.593386746134,10700.093386746134,False,
17,1800.0,ETH_june,long,2025-06-06 02:00:00+00:00,2025-06-06 10:00:00+00:00,0.13,0.095,500.0,-17.5,10622.705638251424,stop_loss,10835.093386746134,10852.593386746134,False,
