trade_id,strike,market,side,entry_time,exit_time,entry_prob,exit_prob,size,pnl,capital,exit_reason,capital_after_trade,capital_at_trade_entry_snapshot,in_cooldown,cooldown_reason
1,1800.0,ETH_june,short,2025-05-31 02:00:00+00:00,2025-05-31 06:00:00+00:00,0.495,0.115,500.0,190.0,10190.0,take_profit,10190.0,10000.0,False,
2,2200.0,ETH_june,long,2025-05-31 03:00:00+00:00,2025-05-31 06:00:00+00:00,0.5,0.36,371.31311739104,-51.983836434745605,10138.016163565255,stop_loss,10138.016163565255,10190.0,False,
3,2700.0,ETH_june,long,2025-05-31 04:00:00+00:00,2025-05-31 06:00:00+00:00,0.4,0.675,500.0,137.5,10275.516163565255,take_profit,10275.516163565255,10138.016163565255,False,
4,2000.0,ETH_june,short,2025-05-31 05:00:00+00:00,2025-05-31 06:00:00+00:00,0.495,0.18,500.0,157.5,10433.016163565255,take_profit,10433.016163565255,10275.516163565255,False,
5,2300.0,ETH_june,long,2025-05-31 06:00:00+00:00,2025-06-01 13:00:00+00:00,0.54,0.71,500.0,84.99999999999997,10518.016163565255,convergence,10518.016163565255,10433.016163565255,False,
6,2000.0,ETH_june,long,2025-05-31 07:00:00+00:00,2025-06-03 02:00:00+00:00,0.255,0.19,500.0,-32.5,10471.635744168854,stop_loss,10485.516163565255,10518.016163565255,False,
7,2200.0,ETH_june,long,2025-05-31 08:00:00+00:00,2025-06-03 09:00:00+00:00,0.38,0.39,500.0,5.000000000000004,10568.287053657878,max_hold,10490.516163565255,10485.516163565255,False,
8,1800.0,ETH_june,long,2025-05-31 09:00:00+00:00,2025-06-03 00:00:00+00:00,0.13,0.095,396.58341132574924,-13.880419396401225,10504.135744168854,stop_loss,10476.635744168854,10490.516163565255,False,
9,2800.0,ETH_june,long,2025-06-01 13:00:00+00:00,2025-06-03 02:00:00+00:00,0.53,0.75,416.5968613137451,91.6513094890239,10563.287053657878,convergence,10568.287053657878,10476.635744168854,False,
10,3000.0,ETH_june,long,2025-06-03 00:00:00+00:00,2025-06-05 20:00:00+00:00,0.4,0.315,500.0,-42.50000000000001,10503.411034727636,convergence,10525.787053657878,10568.287053657878,False,
11,2300.0,ETH_june,long,2025-06-03 02:00:00+00:00,2025-06-05 21:00:00+00:00,0.47,0.82,500.0,175.0,10643.411034727636,take_profit,10700.787053657878,10525.787053657878,False,
12,3200.0,ETH_june,long,2025-06-03 03:00:00+00:00,2025-06-05 20:00:00+00:00,0.255,0.185,500.0,-35.0,10468.411034727636,stop_loss,10665.787053657878,10700.787053657878,False,
13,2000.0,ETH_june,long,2025-06-03 09:00:00+00:00,2025-06-04 15:00:00+00:00,0.205,0.15,406.8367078225679,-22.376018930241234,10545.911034727636,stop_loss,10643.411034727636,10665.787053657878,False,
14,2000.0,ETH_june,long,2025-06-04 15:00:00+00:00,2025-06-05 21:00:00+00:00,0.15,0.335,448.62599581252124,82.99580922531644,10726.406843952953,take_profit,10726.406843952953,10643.411034727636,False,
15,2800.0,ETH_june,short,2025-06-05 20:00:00+00:00,2025-06-08 21:00:00+00:00,0.54,0.52,246.2579103374238,4.92515820674848,10779.14973413204,max_hold,10731.332002159701,10726.406843952953,False,
16,3000.0,ETH_june,long,2025-06-05 21:00:00+00:00,2025-06-06 15:00:00+00:00,0.195,0.305,500.0,54.99999999999999,10774.224575925291,take_profit,10786.332002159701,10731.332002159701,False,
17,2700.0,ETH_june,long,2025-06-05 22:00:00+00:00,2025-06-08 22:00:00+00:00,0.555,0.71,389.5027530557306,60.37292672363821,10839.522660855677,convergence,10846.704928883339,10786.332002159701,False,
18,2300.0,ETH_june,long,2025-06-05 23:00:00+00:00,2025-06-06 02:00:00+00:00,0.755,0.785,343.92439907795585,10.317731972338684,10736.724575925291,convergence,10857.022660855677,10846.704928883339,False,
19,1800.0,ETH_june,long,2025-06-06 02:00:00+00:00,2025-06-06 10:00:00+00:00,0.13,0.095,500.0,-17.5,10719.224575925291,stop_loss,10839.522660855677,10857.022660855677,False,
